ID,Name,ImageURL1,ImageURL2,DesignType,ProductCode
"95XwkKnf2bh8csnzfMbh","ZIYORATLUXURY HOTEL","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","N/A","unique","N/A"
"9NwCSyu4qJXCpQEfl4hP","TINCHLIK PLAZA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"9TKRRi8pWCAbtlMBZPW3","MADO (OQ SHAKAR)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"9bb7xpGXvO5W2QdZAZZ1","OSH PALOVE","https://ik.imagekit.io/php1jcf0t/photo_11_2025-08-24_12-26-38_JWQxs5eUW.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"9vnvBwEx4HLkWDqZ8Tl2","OZON FITNESS","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"A9cNul6tJGRCEPtkSxkN","GRAND STAR HOTEL","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"AL5xwbYp7YwgBz25zChe","DANIEL HILL","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"AcHArSK1RtffK4tk9Roe","LA MAREE","https://ik.imagekit.io/php1jcf0t/2_yHZyUyJ9w.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"AiaKT7f0mFwM8IlZnOK2","HAVOKAND","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"At7ciSPiKfs7kGdei2W4","STARDOGS","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"CCYI3tKJ94xFOwH7GeY4","TUNCAY SEF","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"CHScTE1OV4AAn4vN6cPp","DELISH","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"CgjWYftszm62No1EqzBT","KEKS","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"DK65kklzCAW44ZxCzqkZ","OPPO PIZZA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","N/A","unique","N/A"
"DUgGwpDEb3OH67ryQD1E","RODENA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"DrYsMA0WvJJ1sWFkbuhN","SHARQ HOTEL","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"E4gUdvuAWDTIy50DdDQs","ANJIR STICK","https://ik.imagekit.io/php1jcf0t/anjir_stick_g7jfxRqQe.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"EbE4WjS9wtm9jOMkhPed","LOTTE JIGARRANG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Ef5WPLMCpBccLjKd0oJF","MONA JIGARRANG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Eg44beC0K7M6yn6vZSxk","HILTON GARDEN SLIVKA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"EiswIuwmjI8jAsMckzkN","ZARAFSHON","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"EjqxqoFlhK09nNpmD3Hn","XON","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"EmjBeCWIZGS0jmyIbeIx","VANILLA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Eq9GaPgwKcN64CQ0j514","COFFEE OL","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Et3epSlCGcAj9cc0Ov9R","DEMOOD","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"FqspdBQ1ZZmL3DvSvUXw","B&B","https://ik.imagekit.io/php1jcf0t/b_b_HiVmeeJ4z.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"GWXhHbrNmApiTTEHesyR","UZBEK","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"GflS5ZXh6uqiegs1YDJ9","FLARUS","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"GgZNDNALRy0bGjynrJLJ","FANAT JIGARRANG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Gu458qiLBww1prT79unE","MOVENPICK JIGARRANG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"HLUgh7AEkxt6iLOtmHFh","PIZZA STRADA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"HafepdrPO1d3pFjzgjzg","BENTLEY HOTEL","https://ik.imagekit.io/php1jcf0t/Bentley_hotel_ypPtj-A6MG.JPG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"HknxEOSM4J49C1tPZp8O","TURKISH DONER","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"I3oTijk3VTNFxJPjM60q","BLACK STAR","https://ik.imagekit.io/php1jcf0t/образец_dVmhYEQCk.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"IfSAGPHxLuv7VN7k2ASt","KOINOT","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"IhpI8Xp8QgkkVRUpwcSa","TENET сахарозаменитель","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"IjAanz7Y9kvFJYvzdv8N","IT CAFE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Ijw047hgUdUltPeCMDEw","AILE","https://ik.imagekit.io/php1jcf0t/aile_LTbh1cWVq.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"IsC35AtFpaEgCnOl7VaX","OASIS GARDEN","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"JI3XD7PzCKs0kvIwe3Li","TAKSIM","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"L5Pcs1VWDIHA7Cl10LLX","MIX BURGER","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"LA0pX9V0dx26YWVoe0lF","BASKIN ROBBINS","https://ik.imagekit.io/php1jcf0t/Baskin_Ic1ObVA-A.JPG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"M2ICk2rQNDPNQKF3fatL","NOBLE","https://ik.imagekit.io/php1jcf0t/photo_6_2025-08-24_12-26-38_K7kAZOxlBR.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"MBcsgRahkesiBrcrgTzH","VODIY FOOD","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"MRQuOlwii9ZiFfI59oCz","EDISON FOOD","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Mmk3cvh8KZhgNw3x2LzK","IZGARA","https://ik.imagekit.io/php1jcf0t/photo_2_2025-08-24_12-26-38_cRFAfyfYY.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"NdkSxDBxjLal3RlymNPl","INTERNATIONAL HOTEL SLIVKA","https://ik.imagekit.io/php1jcf0t/photo_2023-05-27_00-14-34_A7UagkvJu.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"NhAkguNaBpZPY6prxwYv","BERLIN","https://ik.imagekit.io/php1jcf0t/Berlin_GNyzuZupw.JPG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
